game,bluetopgp,bluetopwr,bluetopkda,bluejunglegp,bluejunglewr,bluejunglekda,bluemidgp,bluemidwr,bluemidkda,blueadcgp,blueadcwr,blueadckda,bluesupportgp,bluesupportwr,bluesupportkda,redtopgp,redtopwr,redtopkda,redjunglegp,redjunglewr,redjunglekda,redmidgp,redmidwr,redmidkda,redadcgp,redadcwr,redadckda,redsupportgp,redsupportwr,redsupportkda,result
ESPORTSTMNT03/1755330,1,0.0,1.7,2,0.5,4.4,3,0.33,2.8,2,0.0,1.4,2,0.5,3.2,6,0.67,7.3,2,0.5,5.5,1,1.0,4.5,10,0.6,4.6,7,0.57,4.9,1
ESPORTSTMNT03/1755340,4,0.25,2.5,3,0.33,0.8,5,0.4,3.6,2,0.0,0.8,2,0.0,1.4,14,0.86,3.8,9,0.67,4.3,21,0.76,13.5,11,0.45,3.6,40,0.5,2.6,1
ESPORTSTMNT03/1755374,5,0.6,4.8,13,0.54,3.7,20,0.45,3.8,2,0.5,4.3,26,0.5,2.4,5,0.4,1.7,21,0.38,3.1,18,0.72,13.0,3,0.33,8.3,5,0.6,2.2,0
ESPORTSTMNT03/1755401,1,1.0,3.0,6,0.67,6.7,2,0.5,9.3,20,0.5,3.6,12,0.75,3.5,11,0.45,4.3,5,0.4,1.7,8,0.25,4.9,6,0.17,3.6,3,0.33,1.9,0
ESPORTSTMNT06/1570994,3,0.33,2.2,4,0.75,5.5,2,0.5,4.0,0,0.0,0.0,6,0.5,3.2,1,0.0,1.3,4,0.25,2.2,1,0.0,1.1,2,0.5,6.5,1,0.0,2.2,0
ESPORTSTMNT03/1755432,1,0.0,7.0,9,0.33,3.7,2,0.5,5.0,6,0.33,2.9,13,0.23,1.8,17,0.53,3.0,3,0.67,4.2,3,0.33,2.4,14,0.57,3.5,39,0.46,3.0,1
ESPORTSTMNT06/1571000,4,0.0,1.1,1,0.0,0.4,3,0.33,1.2,2,0.5,21.0,4,0.25,2.0,6,0.5,1.9,1,1.0,8.0,2,0.5,2.1,6,0.5,3.6,0,0.0,0.0,1
ESPORTSTMNT03/1755441,12,0.42,2.6,7,0.57,5.6,14,0.57,6.1,17,0.53,3.4,2,1.0,5.2,1,0.0,0.3,5,0.4,4.4,1,0.0,1.0,9,0.22,2.6,5,0.4,2.0,0
ESPORTSTMNT03/1755494,5,0.8,5.4,4,0.75,3.8,28,0.61,3.5,18,0.72,6.0,69,0.54,3.1,6,0.67,4.1,13,0.62,3.6,19,0.53,3.9,1,0.0,1.2,5,0.6,3.3,0
ESPORTSTMNT06/1571006,9,0.78,3.5,4,0.75,5.0,8,0.75,5.1,7,0.86,6.1,1,1.0,9.0,2,0.0,0.7,2,0.5,7.3,2,0.0,0.5,2,0.0,2.8,1,0.0,1.0,0
ESPORTSTMNT03/1755552,14,0.64,3.1,2,0.0,1.8,15,0.4,3.3,8,0.38,4.3,1,0.0,0.1,15,0.6,2.6,11,0.73,11.4,16,0.81,5.2,36,0.58,5.4,6,0.5,3.9,1
ESPORTSTMNT03/1755554,34,0.5,3.6,21,0.57,3.5,17,0.47,4.0,31,0.81,6.6,8,0.75,5.7,4,0.25,1.1,9,0.22,2.5,3,0.67,3.6,28,0.64,4.4,12,0.58,6.3,1
NA1/3797371739,5,0.6,3.1,20,0.75,6.0,6,0.67,2.4,15,0.93,7.8,26,0.54,2.5,30,0.57,3.3,10,0.7,6.2,16,0.44,3.0,41,0.59,4.7,17,0.41,2.3,0
NA1/3797372059,23,0.74,4.1,20,0.75,6.0,6,0.67,2.4,12,0.58,7.5,27,0.52,2.3,2,1.0,2.9,7,0.71,4.4,16,0.44,3.0,41,0.59,4.7,17,0.41,2.3,1
ESPORTSTMNT03/1755562,31,0.68,4.4,9,0.56,3.7,79,0.72,7.7,14,0.71,4.8,69,0.62,4.0,7,0.86,4.3,3,0.33,3.3,28,0.5,3.3,31,0.65,5.4,18,0.78,5.6,0
NA1/3797372498,5,0.6,3.1,2,0.0,0.7,15,0.67,2.5,32,0.66,4.9,16,0.81,2.5,30,0.57,3.3,18,0.39,3.6,2,0.5,3.4,11,0.82,8.5,37,0.65,3.5,1
ESPORTSTMNT03/1755574,50,0.6,3.5,7,0.43,3.1,15,0.4,2.6,23,0.61,6.5,5,0.8,5.1,19,0.42,2.6,23,0.52,5.1,1,0.0,1.0,5,0.2,2.0,47,0.45,2.5,0
NA1/3797372956,18,0.67,2.9,7,0.71,4.4,3,0.33,1.8,12,0.67,6.2,17,0.41,2.3,13,0.85,5.2,20,0.75,6.0,15,0.67,2.5,32,0.66,4.9,36,0.67,3.1,1
